call_id,model,condition,repeat,prompt_file,few_shot,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
claude-opus-4-8__P1__r01,claude-opus-4-8,P1,1,claude-opus-4-8__P1__r01.json,,overhead_ctrl,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,kickback_slow,hit_slow,hit_fast,point_ctrl,kickback_fast,overhead_fast
claude-opus-4-8__P1__r02,claude-opus-4-8,P1,2,claude-opus-4-8__P1__r02.json,,point_slow,point_ctrl,hit_fast,overhead_ctrl,kickback_slow,hit_ctrl,overhead_fast,overhead_slow,kickback_fast,point_fast,kickback_ctrl,hit_slow
claude-opus-4-8__P1__r03,claude-opus-4-8,P1,3,claude-opus-4-8__P1__r03.json,,overhead_ctrl,point_ctrl,hit_slow,point_fast,hit_fast,hit_ctrl,kickback_ctrl,overhead_fast,kickback_fast,kickback_slow,point_slow,overhead_slow
claude-opus-4-8__P1__r04,claude-opus-4-8,P1,4,claude-opus-4-8__P1__r04.json,,point_slow,kickback_fast,kickback_ctrl,overhead_fast,point_fast,point_ctrl,kickback_slow,hit_fast,hit_slow,overhead_slow,hit_ctrl,overhead_ctrl
claude-opus-4-8__P1__r05,claude-opus-4-8,P1,5,claude-opus-4-8__P1__r05.json,,hit_ctrl,hit_slow,point_fast,overhead_fast,kickback_ctrl,kickback_fast,overhead_ctrl,point_slow,overhead_slow,hit_fast,point_ctrl,kickback_slow
claude-opus-4-8__P1__r06,claude-opus-4-8,P1,6,claude-opus-4-8__P1__r06.json,,kickback_fast,kickback_slow,hit_ctrl,point_fast,point_ctrl,overhead_ctrl,overhead_slow,kickback_ctrl,overhead_fast,point_slow,hit_slow,hit_fast
claude-opus-4-8__P1__r07,claude-opus-4-8,P1,7,claude-opus-4-8__P1__r07.json,,hit_fast,kickback_slow,hit_ctrl,point_ctrl,point_slow,kickback_fast,overhead_slow,overhead_ctrl,hit_slow,kickback_ctrl,overhead_fast,point_fast
claude-opus-4-8__P1__r08,claude-opus-4-8,P1,8,claude-opus-4-8__P1__r08.json,,hit_slow,kickback_fast,kickback_ctrl,hit_ctrl,point_slow,kickback_slow,point_fast,point_ctrl,overhead_slow,overhead_ctrl,hit_fast,overhead_fast
claude-opus-4-8__P1__r09,claude-opus-4-8,P1,9,claude-opus-4-8__P1__r09.json,,hit_ctrl,hit_slow,point_fast,hit_fast,overhead_fast,point_ctrl,overhead_ctrl,kickback_ctrl,kickback_slow,overhead_slow,point_slow,kickback_fast
claude-opus-4-8__P1__r10,claude-opus-4-8,P1,10,claude-opus-4-8__P1__r10.json,,kickback_fast,overhead_slow,kickback_slow,hit_ctrl,point_fast,overhead_fast,point_slow,hit_fast,kickback_ctrl,point_ctrl,overhead_ctrl,hit_slow
claude-opus-4-8__P1__r11,claude-opus-4-8,P1,11,claude-opus-4-8__P1__r11.json,,kickback_slow,overhead_ctrl,hit_fast,point_slow,kickback_ctrl,overhead_fast,point_ctrl,point_fast,overhead_slow,hit_ctrl,kickback_fast,hit_slow
claude-opus-4-8__P1__r12,claude-opus-4-8,P1,12,claude-opus-4-8__P1__r12.json,,overhead_fast,kickback_slow,point_ctrl,overhead_slow,overhead_ctrl,point_fast,kickback_ctrl,hit_fast,hit_slow,kickback_fast,hit_ctrl,point_slow
claude-opus-4-8__P1__r13,claude-opus-4-8,P1,13,claude-opus-4-8__P1__r13.json,,overhead_slow,hit_ctrl,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,overhead_ctrl,point_slow,overhead_fast,point_fast,point_ctrl,hit_slow
claude-opus-4-8__P1__r14,claude-opus-4-8,P1,14,claude-opus-4-8__P1__r14.json,,overhead_fast,overhead_slow,kickback_ctrl,kickback_fast,hit_fast,hit_ctrl,point_ctrl,hit_slow,kickback_slow,point_fast,point_slow,overhead_ctrl
claude-opus-4-8__P1__r15,claude-opus-4-8,P1,15,claude-opus-4-8__P1__r15.json,,point_ctrl,kickback_slow,overhead_fast,kickback_ctrl,point_fast,hit_fast,overhead_slow,point_slow,hit_ctrl,kickback_fast,overhead_ctrl,hit_slow
claude-opus-4-8__P2__r01,claude-opus-4-8,P2,1,claude-opus-4-8__P2__r01.json,,overhead_slow,hit_ctrl,hit_slow,point_ctrl,kickback_slow,kickback_ctrl,overhead_fast,point_slow,point_fast,hit_fast,overhead_ctrl,kickback_fast
claude-opus-4-8__P2__r02,claude-opus-4-8,P2,2,claude-opus-4-8__P2__r02.json,,overhead_fast,overhead_ctrl,point_ctrl,overhead_slow,kickback_fast,kickback_ctrl,kickback_slow,hit_fast,point_slow,point_fast,hit_slow,hit_ctrl
claude-opus-4-8__P2__r03,claude-opus-4-8,P2,3,claude-opus-4-8__P2__r03.json,,hit_fast,kickback_fast,point_slow,overhead_slow,kickback_slow,hit_ctrl,kickback_ctrl,hit_slow,point_fast,point_ctrl,overhead_fast,overhead_ctrl
claude-opus-4-8__P2__r04,claude-opus-4-8,P2,4,claude-opus-4-8__P2__r04.json,,hit_fast,overhead_fast,hit_slow,kickback_ctrl,point_slow,kickback_fast,overhead_ctrl,point_fast,hit_ctrl,kickback_slow,overhead_slow,point_ctrl
claude-opus-4-8__P2__r05,claude-opus-4-8,P2,5,claude-opus-4-8__P2__r05.json,,hit_fast,point_fast,kickback_ctrl,hit_slow,overhead_fast,overhead_ctrl,point_ctrl,kickback_slow,point_slow,kickback_fast,hit_ctrl,overhead_slow
claude-opus-4-8__P2__r06,claude-opus-4-8,P2,6,claude-opus-4-8__P2__r06.json,,overhead_slow,hit_fast,kickback_fast,point_slow,overhead_ctrl,point_fast,hit_slow,kickback_slow,hit_ctrl,kickback_ctrl,point_ctrl,overhead_fast
claude-opus-4-8__P2__r07,claude-opus-4-8,P2,7,claude-opus-4-8__P2__r07.json,,kickback_slow,kickback_fast,overhead_fast,point_ctrl,hit_slow,hit_fast,hit_ctrl,overhead_slow,point_slow,kickback_ctrl,point_fast,overhead_ctrl
claude-opus-4-8__P2__r08,claude-opus-4-8,P2,8,claude-opus-4-8__P2__r08.json,,hit_slow,hit_fast,kickback_slow,point_slow,overhead_slow,overhead_fast,point_ctrl,overhead_ctrl,kickback_fast,kickback_ctrl,hit_ctrl,point_fast
claude-opus-4-8__P2__r09,claude-opus-4-8,P2,9,claude-opus-4-8__P2__r09.json,,overhead_fast,kickback_ctrl,overhead_slow,point_fast,hit_slow,point_slow,kickback_slow,hit_ctrl,kickback_fast,hit_fast,point_ctrl,overhead_ctrl
claude-opus-4-8__P2__r10,claude-opus-4-8,P2,10,claude-opus-4-8__P2__r10.json,,overhead_fast,overhead_ctrl,hit_slow,point_slow,kickback_slow,hit_fast,point_fast,overhead_slow,kickback_ctrl,kickback_fast,point_ctrl,hit_ctrl
